LAMMPS data file via write_data, version 29 Oct 2020, timestep = 1000000

2338 atoms
5 atom types

0.0 44.46 xlo xhi
0.0 47.058 ylo yhi
0.0 21.7 zlo zhi

Masses

1 12.011
2 15.9994
3 1.008
4 22.9898
5 35.453

Atoms # full

1 1 1 0.0 0.618 0.356 7.5 0 0 0
4 4 1 0.0 0.618 1.782 7.5 0 0 0
89 89 1 0.0 3.088 0.356 7.5 0 0 0
92 92 1 0.0 3.088 1.782 7.5 0 0 0
177 177 1 0.0 5.557 0.356 7.5 0 0 0
180 180 1 0.0 5.557 1.782 7.5 0 0 0
265 265 1 0.0 8.027 0.356 7.5 0 0 0
268 268 1 0.0 8.027 1.782 7.5 0 0 0
353 353 1 0.0 10.497 0.356 7.5 0 0 0
356 356 1 0.0 10.497 1.782 7.5 0 0 0
2000 1723 3 0.4238 2.0788783329888663 1.4334341078344437 10.597725702750218 0 0 0
2271 1813 3 0.4238 0.391281272867435 2.463888602682689 10.646859617139112 0 0 0
1963 1711 2 -0.8476 5.031375591481627 0.7784136181275623 10.567469820402206 0 0 0
1965 1711 3 0.4238 4.0708054868129855 0.6236160734871361 10.798430513930512 0 0 0
1664 1611 3 0.4238 7.815651614575143 0.8985943917711545 10.604029671179307 -1 0 0
1665 1611 3 0.4238 6.471725982889777 1.8020416729007562 10.814442095434865 -1 0 0
5 5 1 0.0 0.618 0.356 14.2 0 0 0
8 8 1 0.0 0.618 1.782 14.2 0 0 0
93 93 1 0.0 3.088 0.356 14.2 0 0 0
96 96 1 0.0 3.088 1.782 14.2 0 0 0
181 181 1 0.0 5.557 0.356 14.2 0 0 0
184 184 1 0.0 5.557 1.782 14.2 0 0 0
269 269 1 0.0 8.027 0.356 14.2 0 0 0
272 272 1 0.0 8.027 1.782 14.2 0 0 0
357 357 1 0.0 10.497 0.356 14.2 0 0 0
360 360 1 0.0 10.497 1.782 14.2 0 0 0
1663 1611 2 -0.8476 7.470271041878298 1.799084103516878 10.86828442737379 -1 0 0
1999 1723 2 -0.8476 2.398245953024218 0.5271807299780499 10.874691039477842 0 0 0
1683 1617 3 0.4238 10.57217387644985 1.92478888308681 11.236229186914406 0 0 0
2 2 1 0.0 1.853 3.921 7.5 0 0 0
3 3 1 0.0 1.853 2.495 7.5 0 0 0
9 9 1 0.0 0.618 4.634 7.5 0 0 0
90 90 1 0.0 4.322 3.921 7.5 0 0 0
91 91 1 0.0 4.322 2.495 7.5 0 0 0
97 97 1 0.0 3.088 4.634 7.5 0 0 0
178 178 1 0.0 6.792 3.921 7.5 0 0 0
179 179 1 0.0 6.792 2.495 7.5 0 0 0
185 185 1 0.0 5.557 4.634 7.5 0 0 0
266 266 1 0.0 9.262 3.921 7.5 0 0 0
267 267 1 0.0 9.262 2.495 7.5 0 0 0
273 273 1 0.0 8.027 4.634 7.5 0 0 0
361 361 1 0.0 10.497 4.634 7.5 0 0 0
2270 1813 3 0.4238 0.9217309452865797 3.9963495404256624 10.838724917993767 0 0 0
2269 1813 2 -0.8476 1.20253420733653 3.0446626116004194 10.714461647095884 0 0 0
1830 1666 3 0.4238 2.9310721951059326 3.4074986727847074 10.712386374505206 0 0 0
1681 1617 2 -0.8476 10.08982454219424 2.708278094554617 10.844459543401715 0 0 0
1829 1666 3 0.4238 4.335468938371337 2.678649496640648 10.30856116960441 0 0 0
1828 1666 2 -0.8476 3.9120226785048406 3.5445812715468374 10.574747564289293 0 0 0
1682 1617 3 0.4238 9.111922849469634 2.5057414580652497 10.792622496652994 0 0 0
6 6 1 0.0 1.853 3.921 14.2 0 0 0
7 7 1 0.0 1.853 2.495 14.2 0 0 0
13 13 1 0.0 0.618 4.634 14.2 0 0 0
94 94 1 0.0 4.322 3.921 14.2 0 0 0
95 95 1 0.0 4.322 2.495 14.2 0 0 0
101 101 1 0.0 3.088 4.634 14.2 0 0 0
182 182 1 0.0 6.792 3.921 14.2 0 0 0
183 183 1 0.0 6.792 2.495 14.2 0 0 0
189 189 1 0.0 5.557 4.634 14.2 0 0 0
270 270 1 0.0 9.262 3.921 14.2 0 0 0
271 271 1 0.0 9.262 2.495 14.2 0 0 0
277 277 1 0.0 8.027 4.634 14.2 0 0 0
365 365 1 0.0 10.497 4.634 14.2 0 0 0
2293 1821 2 -0.8476 6.43281493716509 4.574652800535025 11.090903703373677 0 0 0
2294 1821 3 0.4238 6.804166554424562 3.6668357273985532 11.285754192812407 0 0 0
2186 1785 3 0.4238 9.769432852230153 4.589635327819248 10.921453178316705 0 0 0
2295 1821 3 0.4238 5.450291605567804 4.503023594534326 10.919095776242822 0 0 0
11 11 1 0.0 1.853 6.773 7.5 0 0 0
12 12 1 0.0 0.618 6.06 7.5 0 0 0
99 99 1 0.0 4.322 6.773 7.5 0 0 0
100 100 1 0.0 3.088 6.06 7.5 0 0 0
187 187 1 0.0 6.792 6.773 7.5 0 0 0
188 188 1 0.0 5.557 6.06 7.5 0 0 0
275 275 1 0.0 9.262 6.773 7.5 0 0 0
276 276 1 0.0 8.027 6.06 7.5 0 0 0
364 364 1 0.0 10.497 6.06 7.5 0 0 0
1915 1695 2 -0.8476 0.7646790954014298 5.955632876416724 10.591460561514626 0 0 0
2206 1792 2 -0.8476 3.393814853360183 6.118879132707855 10.760306489680442 0 0 0
2118 1762 3 0.4238 4.819590110686182 7.0453566882273355 10.591508988963868 0 0 0
1916 1695 3 0.4238 1.7526190027702102 6.0458252161928465 10.717317799660854 0 0 0
2116 1762 2 -0.8476 5.765603675179908 7.29144361409408 10.80245730536672 0 0 0
