################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  7.4254163339372492E-03 a         1     0     1     1     1
 -7.3111092232693675E-01 a         2     0     1     1     2
  6.9284527783118416E-02 a         3     0     1     1     3
  2.1296814745190801E-01 a         4     0     1     1     4
 -2.7779308908274625E-01 a         5     0     1     1     5
  9.6319004698442789E-02 a         6     0     1     1     6
  1.2591251640732269E-02 a         7     0     1     1     7
  1.0871364363915545E-01 a         8     0     1     1     8
  1.6046394777646278E-01 a         9     0     1     1     9
  5.8071288754044803E-01 a        10     0     1     1    10
 -2.2921202071137259E-01 a        11     0     1     1    11
 -1.1894567414311819E+00 a        12     0     1     1    12
  3.8222707786428611E-01 a        13     0     1     1    13
 -7.5069071048620661E-01 a        14     0     1     1    14
  7.9126182524178010E-02 a        15     0     1     1    15
 -6.6722964412407590E-02 a        16     0     1     1    16
  9.4063839143664531E-03 a        17     0     1     1    17
 -2.3300182263073142E-02 a        18     0     1     1    18
  3.2407197242481311E-03 a        19     0     1     1    19
 -5.8397976925408266E-03 a        20     0     1     1    20
  8.0530947395745373E-02 a        21     0     2     1     1
  1.4629186617052037E-02 a        22     0     2     1     2
 -1.4839890129762859E-01 a        23     0     2     1     3
 -6.8202866332635670E-01 a        24     0     2     1     4
 -2.3613360796002701E-02 a        25     0     2     1     5
  1.1432128962453900E-01 a        26     0     2     1     6
  3.7348453408628557E-01 a        27     0     2     1     7
  2.0951133479787176E-02 a        28     0     2     1     8
  2.0420448139652664E-01 a        29     0     2     1     9
  5.1546625568501292E-01 a        30     0     2     1    10
 -3.0906016715144580E-01 a        31     0     2     1    11
  9.3405326892863225E-02 a        32     0     2     1    12
  2.0008348085981978E-01 a        33     0     2     1    13
  9.2743399363257317E-02 a        34     0     2     1    14
  1.3052069298801680E-01 a        35     0     2     1    15
  2.6315969786371060E-02 a        36     0     2     1    16
 -1.8582901099614740E-01 a        37     0     2     1    17
 -2.9310171536450186E-01 a        38     0     2     1    18
 -1.8581621459165318E-01 a        39     0     2     1    19
 -3.3400384238992092E-01 a        40     0     2     1    20
 -6.8068520323788087E-02 a        41     0     3     1     1
  7.5473124982560341E-02 a        42     0     3     1     2
 -5.1682715894757376E-02 a        43     0     3     1     3
 -1.3883651467819025E-01 a        44     0     3     1     4
  1.7337138401978636E-01 a        45     0     3     1     5
 -1.4754611642052878E-01 a        46     0     3     1     6
  1.1168080413213696E-01 a        47     0     3     1     7
 -1.1606541794392952E-02 a        48     0     3     1     8
 -9.5989795015373556E-03 a        49     0     3     1     9
 -1.7056782089709829E-01 a        50     0     3     1    10
  5.1420547180660685E-03 a        51     0     3     1    11
  1.3176003157294829E-02 a        52     0     3     1    12
 -7.0558116111028621E-02 a        53     0     3     1    13
  2.3162953346193629E-01 a        54     0     3     1    14
 -1.4643110853987013E-01 a        55     0     3     1    15
 -2.2595980190364973E-01 a        56     0     3     1    16
  5.6871280090923293E-02 a        57     0     3     1    17
  4.4106137239314482E-02 a        58     0     3     1    18
  4.9567595083081315E-03 a        59     0     3     1    19
 -7.1605906821462451E-02 a        60     0     3     1    20
  2.2364879510628957E-01 a        61     0     4     1     1
  2.5810246910408530E-01 a        62     0     4     1     2
  4.3558673092413308E-01 a        63     0     4     1     3
 -3.1393566258886302E-01 a        64     0     4     1     4
  2.4271245246433970E-01 a        65     0     4     1     5
 -2.0175414402619843E-01 a        66     0     4     1     6
