################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  1.6073686651426689E-01 a         1     0     1     1     1
  1.3759132572648972E-03 a         2     0     1     1     2
  4.5669578478597532E-02 a         3     0     1     1     3
 -3.3210226565296305E-02 a         4     0     1     1     4
  1.9346111768737859E-01 a         5     0     1     1     5
 -7.7043001902794922E-02 a         6     0     1     1     6
 -8.1285706000134739E-02 a         7     0     1     1     7
  2.9718467947075100E-01 a         8     0     1     1     8
 -1.8421678619551859E-01 a         9     0     1     1     9
 -8.4318587334761663E-02 a        10     0     1     1    10
 -2.4071294794195543E-02 a        11     0     1     1    11
  1.2781514223401264E-01 a        12     0     1     1    12
  4.9125742204276276E-02 a        13     0     1     1    13
 -7.7358696959350950E-02 a        14     0     1     1    14
 -8.0088802060043235E-02 a        15     0     1     1    15
  1.9483734037523381E-01 a        16     0     1     1    16
  1.3258330920221320E-01 a        17     0     1     1    17
  2.1298367403281637E-01 a        18     0     1     1    18
  1.5510410938269295E-01 a        19     0     1     1    19
 -5.7153015865753748E-02 a        20     0     1     1    20
 -2.2797604581333758E-02 a        21     0     2     1     1
 -6.4777210372142263E-02 a        22     0     2     1     2
  4.2298734125962882E-03 a        23     0     2     1     3
 -8.2201801516073356E-02 a        24     0     2     1     4
  7.3983591416300079E-02 a        25     0     2     1     5
 -1.1651178322910932E-01 a        26     0     2     1     6
 -1.0254183251220975E-01 a        27     0     2     1     7
 -3.2125872525043626E-02 a        28     0     2     1     8
 -2.8735398843493010E-02 a        29     0     2     1     9
 -3.2786829002941706E-02 a        30     0     2     1    10
  3.8975811795002653E-02 a        31     0     2     1    11
  3.0020570712625755E-03 a        32     0     2     1    12
 -8.4055103573861867E-02 a        33     0     2     1    13
 -3.2709351921660434E-01 a        34     0     2     1    14
 -7.4697325775941917E-02 a        35     0     2     1    15
 -9.7424230133007494E-02 a        36     0     2     1    16
 -1.9150529755102946E-01 a        37     0     2     1    17
 -5.5690106452157315E-02 a        38     0     2     1    18
  3.7115493589898470E-02 a        39     0     2     1    19
  4.5081348693597957E-02 a        40     0     2     1    20
 -2.6793473332004608E-01 a        41     0     3     1     1
 -1.2113720761845176E-01 a        42     0     3     1     2
  4.1475845124951852E-02 a        43     0     3     1     3
  4.7798451131335691E-02 a        44     0     3     1     4
  2.1893897362800488E-01 a        45     0     3     1     5
  1.2023927576609579E-01 a        46     0     3     1     6
  1.9341283244515309E-01 a        47     0     3     1     7
  8.9417333117562406E-02 a        48     0     3     1     8
  4.5860789746969208E-02 a        49     0     3     1     9
 -2.6118082255619435E-01 a        50     0     3     1    10
 -2.0669764183971570E-01 a        51     0     3     1    11
  3.9783390450552694E-02 a        52     0     3     1    12
  6.0703203272740008E-02 a        53     0     3     1    13
  1.0869698075315089E-01 a        54     0     3     1    14
 -2.1970619695071650E-01 a        55     0     3     1    15
 -7.1451421283086430E-02 a        56     0     3     1    16
 -1.3863248796386787E-01 a        57     0     3     1    17
 -1.3324674487686419E-01 a        58     0     3     1    18
 -2.2831279646438499E-02 a        59     0     3     1    19
 -1.3418303323052135E-04 a        60     0     3     1    20
  2.0281237734580676E-01 a        61     0     4     1     1
 -2.0973188266137702E-01 a        62     0     4     1     2
  2.0649394574985674E-01 a        63     0     4     1     3
  1.7258920426559030E-01 a        64     0     4     1     4
 -8.1776253079272623E-02 a        65     0     4     1     5
  1.5160202729470260E-02 a        66     0     4     1     6
  1.9980105342187682E-01 a        67     0     4     1     7
  7.5584169495975032E-02 a        68     0     4     1     8
  1.3270209187363516E-01 a        69     0     4     1     9
 -6.4463411001034240E-02 a        70     0     4     1    10
  8.7140215365510171E-02 a        71     0     4     1    11
  2.1027463698091375E-01 a        72     0     4     1    12
  2.0554559827578778E-01 a        73     0     4     1    13
  1.5515873890047094E-01 a        74     0     4     1    14
  9.3908856618701061E-02 a        75     0     4     1    15
  7.7256761686235187E-02 a        76     0     4     1    16
 -9.1360237869252792E-02 a        77     0     4     1    17
  1.6710589967897944E-02 a        78     0     4     1    18
 -7.5004242182441949E-02 a        79     0     4     1    19
 -4.0548536522607759E-02 a        80     0     4     1    20
 -1.2153458174781928E-01 a        81     0     5     1     1
 -5.0433885363621075E-02 a        82     0     5     1     2
  8.9592759659183369E-02 a        83     0     5     1     3
 -2.1339253261470112E-01 a        84     0     5     1     4
  5.3923829296829116E-02 a        85     0     5     1     5
  5.7260423651919556E-01 a        86     0     5     1     6
 -1.4449951120185386E-01 a        87     0     5     1     7
  9.6453874658736505E-02 a        88     0     5     1     8
 -2.1470131365551423E-01 a        89     0     5     1     9
 -1.8548856146617809E-01 a        90     0     5     1    10
  4.1782700678689227E-01 a        91     0     5     1    11
  1.9818212516272696E-01 a        92     0     5     1    12
 -1.9293590437973665E-01 a        93     0     5     1    13
 -3.9366544735423786E-01 a        94     0     5     1    14
  1.4310391165900621E-01 a        95     0     5     1    15
 -1.9095971941505160E-01 a        96     0     5     1    16
 -1.3052507304801908E-01 a        97     0     5     1    17
 -1.4167372660654715E-01 a        98     0     5     1    18
 -2.6541511320954259E-01 a        99     0     5     1    19
  9.1485404118812813E-02 a       100     0     5     1    20
 -5.2863012025721766E-02 a       101     0     6     1     1
  4.1965809765005795E-02 a       102     0     6     1     2
