################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.4431820183531197E-01 a         1     0     1     1     1
 -3.4412323637263924E-02 a         2     0     1     1     2
  1.2954287407312370E-01 a         3     0     1     1     3
  1.1804032327298535E-01 a         4     0     1     1     4
 -3.5237219534214881E-01 a         5     0     1     1     5
  2.0860929595722961E-02 a         6     0     1     1     6
 -6.6022054701824165E-02 a         7     0     1     1     7
  4.7758776207464182E-01 a         8     0     1     1     8
 -2.5147997827232055E-01 a         9     0     1     1     9
  1.1865656493956417E-01 a        10     0     1     1    10
  1.8251054717310863E-01 a        11     0     1     1    11
 -2.1098424524267759E-01 a        12     0     1     1    12
 -1.0452004031385551E-01 a        13     0     1     1    13
 -1.9232133085829321E-02 a        14     0     1     1    14
 -9.4387723402133111E-02 a        15     0     1     1    15
  8.6773370755310539E-02 a        16     0     1     1    16
  2.4549586923471298E-01 a        17     0     1     1    17
  3.0247704162821305E-02 a        18     0     1     1    18
 -3.4580637314968099E-01 a        19     0     1     1    19
 -1.4486194342343578E-01 a        20     0     1     1    20
 -2.7493148575217441E-01 a        21     0     2     1     1
  3.3291530786802787E-01 a        22     0     2     1     2
 -2.4747045890144531E-01 a        23     0     2     1     3
  3.6925716329053032E-01 a        24     0     2     1     4
  2.9997036534583998E-01 a        25     0     2     1     5
  1.5102168323002732E-01 a        26     0     2     1     6
 -1.1009890454734345E-01 a        27     0     2     1     7
  1.4448515992474970E-01 a        28     0     2     1     8
  3.4415452932492752E-01 a        29     0     2     1     9
 -1.7332379651688543E-01 a        30     0     2     1    10
  2.2465102155354005E-01 a        31     0     2     1    11
  8.7471489799497051E-02 a        32     0     2     1    12
  3.8912872819049016E-01 a        33     0     2     1    13
  2.0543292377477557E-01 a        34     0     2     1    14
 -4.1291074189741100E-01 a        35     0     2     1    15
  1.8999257603561398E-01 a        36     0     2     1    16
 -2.1996550907947671E-01 a        37     0     2     1    17
  4.0837761618261879E-02 a        38     0     2     1    18
  5.1695681638761690E-03 a        39     0     2     1    19
 -2.1312064212670340E-01 a        40     0     2     1    20
 -2.1876229892675656E-02 a        41     0     3     1     1
 -1.4836799802116113E-01 a        42     0     3     1     2
  5.9326553129480500E-02 a        43     0     3     1     3
  3.0853125209399268E-01 a        44     0     3     1     4
 -1.1646379100969723E-01 a        45     0     3     1     5
  4.8808334093994862E-02 a        46     0     3     1     6
  1.3884917937808774E-01 a        47     0     3     1     7
  4.7586984251206964E-02 a        48     0     3     1     8
 -1.1055010009710625E-01 a        49     0     3     1     9
 -2.5062196416964372E-01 a        50     0     3     1    10
  6.8276234566642053E-03 a        51     0     3     1    11
  3.2029184418141459E-03 a        52     0     3     1    12
  3.6900537838351538E-02 a        53     0     3     1    13
  1.9414789657825787E-01 a        54     0     3     1    14
 -2.4503465924027731E-01 a        55     0     3     1    15
  6.0202341678340411E-02 a        56     0     3     1    16
  8.5627496017269338E-04 a        57     0     3     1    17
  1.4317132744084191E-01 a        58     0     3     1    18
 -2.4945185339329365E-01 a        59     0     3     1    19
  3.6280799984500171E-02 a        60     0     3     1    20
 -1.0446389183852904E-01 a        61     0     4     1     1
  1.7093453178548004E-01 a        62     0     4     1     2
 -5.7977116612137031E-02 a        63     0     4     1     3
 -1.7448346252399063E-01 a        64     0     4     1     4
 -3.7689196021314909E-02 a        65     0     4     1     5
  2.0173361143984291E-02 a        66     0     4     1     6
 -2.1965676059236008E-01 a        67     0     4     1     7
  4.1016101496926033E-01 a        68     0     4     1     8
  3.8838458447365604E-01 a        69     0     4     1     9
 -7.8477877277436825E-01 a        70     0     4     1    10
 -9.3788698939482440E-02 a        71     0     4     1    11
 -3.2930308383565587E-01 a        72     0     4     1    12
  2.9204685829894433E-01 a        73     0     4     1    13
  1.5656391739988806E-01 a        74     0     4     1    14
 -1.3980317096449654E-01 a        75     0     4     1    15
 -4.3833808501587962E-01 a        76     0     4     1    16
  4.0556126776420909E-01 a        77     0     4     1    17
 -4.4756333964866973E-02 a        78     0     4     1    18
  3.7233386753525671E-01 a        79     0     4     1    19
 -4.4473353589042597E-01 a        80     0     4     1    20
  3.6112240094712617E-01 a        81     0     5     1     1
 -4.1407605200992487E-01 a        82     0     5     1     2
  5.9329338270448873E-01 a        83     0     5     1     3
  1.1507788914938441E-01 a        84     0     5     1     4
 -3.4202883313282550E-01 a        85     0     5     1     5
 -4.9463771083812343E-02 a        86     0     5     1     6
  2.0569292240454226E-01 a        87     0     5     1     7
 -7.8685420536401207E-02 a        88     0     5     1     8
  1.3838957674196434E-01 a        89     0     5     1     9
  1.0564843603989005E-01 a        90     0     5     1    10
 -2.2343642725523155E-01 a        91     0     5     1    11
  1.7118510580145862E-02 a        92     0     5     1    12
  1.8728763287088024E-01 a        93     0     5     1    13
 -6.8540168200682172E-01 a        94     0     5     1    14
  7.1229647224729054E-01 a        95     0     5     1    15
 -3.8473053925479422E-01 a        96     0     5     1    16
  7.0133353146280564E-01 a        97     0     5     1    17
  1.9735991791067792E-01 a        98     0     5     1    18
 -6.5165472990863088E-02 a        99     0     5     1    19
 -1.1773737727178031E-01 a       100     0     5     1    20
 -4.2993831622070336E-02 a       101     0     6     1     1
  7.7308265823988215E-03 a       102     0     6     1     2
 -2.2529158034830053E-02 a       103     0     6     1     3
  9.5060440307255412E-02 a       104     0     6     1     4
 -8.2354979873006467E-02 a       105     0     6     1     5
 -9.9306521616656332E-02 a       106     0     6     1     6
  9.6831917811024543E-02 a       107     0     6     1     7
 -6.5200506977369285E-03 a       108     0     6     1     8
 -6.2810539582384028E-02 a       109     0     6     1     9
 -5.9827004321189566E-03 a       110     0     6     1    10
  7.9630689891853346E-02 a       111     0     6     1    11
 -5.0313881299269394E-03 a       112     0     6     1    12
  1.1327884090953967E-01 a       113     0     6     1    13
  5.1566336630318649E-02 a       114     0     6     1    14
 -9.8334388411721180E-03 a       115     0     6     1    15
  7.9964052288580695E-03 a       116     0     6     1    16
  4.1570845616435191E-03 a       117     0     6     1    17
 -2.5719638547642122E-02 a       118     0     6     1    18
 -1.3239168294211007E-02 a       119     0     6     1    19
  6.3317105741105092E-02 a       120     0     6     1    20
  1.8472551129982703E-01 a       121     0     7     1     1
 -9.3668179387707162E-02 a       122     0     7     1     2
  7.3919699396702695E-03 a       123     0     7     1     3
 -3.8318036729699922E-01 a       124     0     7     1     4
  1.5826289046968151E-01 a       125     0     7     1     5
 -7.2077562946706281E-02 a       126     0     7     1     6
 -2.1788300351359882E-02 a       127     0     7     1     7
  1.2349771110955214E-01 a       128     0     7     1     8
  3.0232558201566473E-01 a       129     0     7     1     9
 -8.8522401160869985E-02 a       130     0     7     1    10
  1.8514018872054938E-01 a       131     0     7     1    11
  3.1202737780557745E-02 a       132     0     7     1    12
  1.1308414897195553E-01 a       133     0     7     1    13
  9.8984423463243501E-02 a       134     0     7     1    14
  2.3243653073130127E-01 a       135     0     7     1    15
