################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.0678761142748533E-01 a         1     0     1     1     1
 -7.0987467398453630E-02 a         2     0     1     1     2
  3.3419341950072803E-02 a         3     0     1     1     3
  4.7413807431406954E-02 a         4     0     1     1     4
 -7.2541992791194346E-02 a         5     0     1     1     5
 -8.3516519119749874E-02 a         6     0     1     1     6
 -1.2000977567426828E-01 a         7     0     1     1     7
  7.5237682834128766E-02 a         8     0     1     1     8
  1.2704849017439032E-01 a         9     0     1     1     9
  1.1020053652380233E-02 a        10     0     1     1    10
 -1.9037427920360905E-01 a        11     0     1     1    11
  1.8648769183757258E-01 a        12     0     1     1    12
 -1.8335719384056071E-01 a        13     0     1     1    13
  1.9164977697650895E-01 a        14     0     1     1    14
 -4.1908520076659739E-02 a        15     0     1     1    15
  1.1522371444882397E-01 a        16     0     1     1    16
 -5.2321217339364103E-02 a        17     0     1     1    17
 -2.5587647770593615E-02 a        18     0     1     1    18
 -4.7060733542182820E-02 a        19     0     1     1    19
 -6.4562430864695181E-02 a        20     0     1     1    20
 -4.6629924514796119E-02 a        21     0     2     1     1
 -6.1477423633743859E-02 a        22     0     2     1     2
  3.3061187596731857E-03 a        23     0     2     1     3
 -2.4507650239810740E-02 a        24     0     2     1     4
 -5.3213332256838282E-02 a        25     0     2     1     5
 -6.9835764193154640E-02 a        26     0     2     1     6
 -4.1020236876613353E-02 a        27     0     2     1     7
  9.1429684689228380E-02 a        28     0     2     1     8
 -1.3212315153792983E-01 a        29     0     2     1     9
  9.4107020866880928E-02 a        30     0     2     1    10
 -1.2217790462400283E-01 a        31     0     2     1    11
  1.6911129766616095E-01 a        32     0     2     1    12
 -5.9907716881783514E-02 a        33     0     2     1    13
 -1.5922659898789723E-01 a        34     0     2     1    14
  1.0563422151036714E-01 a        35     0     2     1    15
 -1.9970115554834592E-02 a        36     0     2     1    16
 -4.5929158731239775E-02 a        37     0     2     1    17
  1.4960491737192907E-01 a        38     0     2     1    18
  2.2813571283156261E-01 a        39     0     2     1    19
 -1.9138509997005002E-01 a        40     0     2     1    20
 -7.6425884199093755E-02 a        41     0     3     1     1
  5.2557364732172880E-02 a        42     0     3     1     2
  4.2343770937726191E-02 a        43     0     3     1     3
  1.8795404274692937E-01 a        44     0     3     1     4
 -1.1742371399938446E-01 a        45     0     3     1     5
  2.4566317673598431E-01 a        46     0     3     1     6
 -2.4270818748512971E-01 a        47     0     3     1     7
 -1.1566414267928914E-01 a        48     0     3     1     8
 -3.3323097648527616E-02 a        49     0     3     1     9
 -1.2829831858866739E-01 a        50     0     3     1    10
 -9.3107237102617424E-02 a        51     0     3     1    11
 -4.0735390186570916E-03 a        52     0     3     1    12
 -9.4072516078240794E-03 a        53     0     3     1    13
  6.2344664374353841E-03 a        54     0     3     1    14
  7.8713749433437355E-02 a        55     0     3     1    15
 -1.0759496363980244E-01 a        56     0     3     1    16
 -2.2496012720381695E-02 a        57     0     3     1    17
 -1.2289675917631201E-01 a        58     0     3     1    18
 -1.9233596768599034E-02 a        59     0     3     1    19
 -6.2842466152760942E-02 a        60     0     3     1    20
 -1.8857272677466902E-01 a        61     0     4     1     1
 -4.2508018232980185E-03 a        62     0     4     1     2
 -6.8973136612514793E-02 a        63     0     4     1     3
 -1.6529972461583115E-01 a        64     0     4     1     4
 -2.3475979815552028E-01 a        65     0     4     1     5
 -3.0272827185040174E-01 a        66     0     4     1     6
 -5.8797831650479462E-03 a        67     0     4     1     7
  1.2900707291178387E-01 a        68     0     4     1     8
 -9.6307051794067275E-02 a        69     0     4     1     9
  1.0323799422103415E-02 a        70     0     4     1    10
  1.8881352765155854E-01 a        71     0     4     1    11
 -2.7160509662691473E-01 a        72     0     4     1    12
  1.5345264816962589E-01 a        73     0     4     1    13
 -1.4614191959324527E-01 a        74     0     4     1    14
  1.6256600407230987E-01 a        75     0     4     1    15
 -1.6644036141865823E-01 a        76     0     4     1    16
  7.1824098785239959E-02 a        77     0     4     1    17
  2.1482918258328804E-01 a        78     0     4     1    18
  1.6443739480898542E-01 a        79     0     4     1    19
  2.0677048929053979E-01 a        80     0     4     1    20
  5.6310972627293267E-02 a        81     0     5     1     1
 -9.6220144539148674E-03 a        82     0     5     1     2
 -8.3722662533596309E-02 a        83     0     5     1     3
 -1.2454294856355878E-01 a        84     0     5     1     4
  1.5178877386618050E-01 a        85     0     5     1     5
  2.1111230667500558E-01 a        86     0     5     1     6
  4.2856661005453364E-02 a        87     0     5     1     7
  1.6477771785541395E-01 a        88     0     5     1     8
 -1.6657695690753427E-01 a        89     0     5     1     9
  5.0003826488229437E-02 a        90     0     5     1    10
  1.2056523424322935E-01 a        91     0     5     1    11
  1.6995367610291939E-01 a        92     0     5     1    12
  3.2417929327246950E-02 a        93     0     5     1    13
 -3.3893119539689293E-02 a        94     0     5     1    14
  1.8317371061787269E-01 a        95     0     5     1    15
 -1.5752529705551618E-01 a        96     0     5     1    16
  4.7464407592715079E-03 a        97     0     5     1    17
  7.7010955965542610E-02 a        98     0     5     1    18
 -8.1974984312464305E-02 a        99     0     5     1    19
  1.2083524784493682E-01 a       100     0     5     1    20
  4.2946504986428394E-02 a       101     0     6     1     1
  6.1788994278812771E-02 a       102     0     6     1     2
  6.7745613878572022E-03 a       103     0     6     1     3
  7.6511044275951665E-03 a       104     0     6     1     4
 -9.7754740240741114E-02 a       105     0     6     1     5
  1.5143514446727466E-01 a       106     0     6     1     6
 -9.1438201640245322E-03 a       107     0     6     1     7
 -1.6165130442271311E-01 a       108     0     6     1     8
  1.6667483750458220E-01 a       109     0     6     1     9
 -2.4724117616965297E-01 a       110     0     6     1    10
  1.4853952769285839E-01 a       111     0     6     1    11
 -1.1562041984757972E-01 a       112     0     6     1    12
  1.5843789046604612E-01 a       113     0     6     1    13
  7.1631258190891056E-02 a       114     0     6     1    14
 -2.2885811451385862E-02 a       115     0     6     1    15
  1.3455163361222860E-01 a       116     0     6     1    16
  2.5060826140745451E-01 a       117     0     6     1    17
 -2.1168788690581528E-01 a       118     0     6     1    18
  3.7631172173167922E-02 a       119     0     6     1    19
  6.9984423448269231E-02 a       120     0     6     1    20
 -1.1822113399240475E-01 a       121     0     7     1     1
  5.0954943870096581E-02 a       122     0     7     1     2
  1.0451937108606414E-01 a       123     0     7     1     3
 -2.7325442853229048E-01 a       124     0     7     1     4
 -1.4044470278546053E-01 a       125     0     7     1     5
 -1.9808525808845384E-01 a       126     0     7     1     6
  7.3637097138592206E-02 a       127     0     7     1     7
  1.0110467516501626E-01 a       128     0     7     1     8
  6.4053942417693036E-02 a       129     0     7     1     9
  1.0149913947322534E-01 a       130     0     7     1    10
  1.3692766995599634E-01 a       131     0     7     1    11
 -1.1352337740296677E-01 a       132     0     7     1    12
 -1.4826058015279281E-01 a       133     0     7     1    13
 -5.0820230995967781E-02 a       134     0     7     1    14
 -2.3235657697485632E-02 a       135     0     7     1    15
  1.9139869597219100E-01 a       136     0     7     1    16
  8.4096030961445925E-02 a       137     0     7     1    17
  2.1292625690834725E-02 a       138     0     7     1    18
  5.8855764588900836E-02 a       139     0     7     1    19
  1.2680915199963944E-01 a       140     0     7     1    20
  2.1919412694167975E-01 a       141     0     8     1     1
  2.9074104921291555E-01 a       142     0     8     1     2
 -1.0223312921366068E-01 a       143     0     8     1     3
  1.1438331896256515E-01 a       144     0     8     1     4
  4.9488571716883860E-02 a       145     0     8     1     5
 -9.1973581929631898E-02 a       146     0     8     1     6
  1.7781269921501083E-01 a       147     0     8     1     7
  3.6448249073406991E-02 a       148     0     8     1     8
 -2.1984107275152522E-02 a       149     0     8     1     9
 -6.9066477547096397E-02 a       150     0     8     1    10
  7.6625592616955548E-02 a       151     0     8     1    11
  1.6191667480575642E-01 a       152     0     8     1    12
  6.7963377079766185E-02 a       153     0     8     1    13
 -1.4388376642922224E-01 a       154     0     8     1    14
 -1.4769248904741494E-01 a       155     0     8     1    15
  4.4893688957225439E-02 a       156     0     8     1    16
  7.2819185879288706E-02 a       157     0     8     1    17
 -2.1113045329210692E-01 a       158     0     8     1    18
  7.3572372755504253E-02 a       159     0     8     1    19
  1.2111259187174159E-02 a       160     0     8     1    20
 -1.7670461734256537E-01 a       161     0     9     1     1
  8.3599701018988046E-02 a       162     0     9     1     2
 -1.5452863046306498E-02 a       163     0     9     1     3
 -1.8606200297388222E-02 a       164     0     9     1     4
  1.5190145705725713E-01 a       165     0     9     1     5
 -2.2068303173395118E-01 a       166     0     9     1     6
  1.1337883491158928E-02 a       167     0     9     1     7
 -1.1700883028920964E-01 a       168     0     9     1     8
 -1.0018949615016234E-01 a       169     0     9     1     9
 -6.5617437937762910E-02 a       170     0     9     1    10
 -1.2561965991341666E-02 a       171     0     9     1    11
