################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
  2.5545183387737014E-01 a         1     0     1     1     1
  3.3081037038903131E-02 a         2     0     1     1     2
 -8.7278034438835916E-02 a         3     0     1     1     3
  3.3490172059671983E-03 a         4     0     1     1     4
  3.9687223127454839E-02 a         5     0     1     1     5
 -3.4367466276368386E-02 a         6     0     1     1     6
  2.0738178601276334E-02 a         7     0     1     1     7
  2.2582073824506926E-02 a         8     0     1     1     8
  1.4523800629397615E-01 a         9     0     1     1     9
  8.9208568230394650E-02 a        10     0     1     1    10
 -1.0296229180720873E-01 a        11     0     1     1    11
 -2.5137790153166878E-01 a        12     0     1     1    12
 -3.9129694501257412E-01 a        13     0     1     1    13
  1.9440560300231649E-01 a        14     0     1     1    14
 -1.5483041362729952E-01 a        15     0     1     1    15
  1.6084012015209290E-02 a        16     0     1     1    16
  1.1533935041469710E-02 a        17     0     1     1    17
 -3.5070216527137155E-01 a        18     0     1     1    18
  1.6074691037894623E-01 a        19     0     1     1    19
 -2.6938943333559084E-01 a        20     0     1     1    20
 -1.0278014324900303E-01 a        21     0     2     1     1
  2.0677219468640703E-02 a        22     0     2     1     2
  1.6531087438986392E-01 a        23     0     2     1     3
 -7.1602122330920656E-02 a        24     0     2     1     4
  8.0815786777271692E-02 a        25     0     2     1     5
  1.8453864700672434E-02 a        26     0     2     1     6
 -7.5819850121058616E-02 a        27     0     2     1     7
 -8.7169521312509185E-02 a        28     0     2     1     8
 -7.2721808203567426E-02 a        29     0     2     1     9
  7.0090950100440461E-02 a        30     0     2     1    10
 -1.9786587129095023E-01 a        31     0     2     1    11
  1.2072211581031415E-01 a        32     0     2     1    12
  1.5623274555802624E-01 a        33     0     2     1    13
 -7.0202004716494681E-02 a        34     0     2     1    14
  6.6367698869017860E-02 a        35     0     2     1    15
 -5.1581598943577264E-02 a        36     0     2     1    16
 -1.9720169603225906E-02 a        37     0     2     1    17
  2.1315240078621903E-02 a        38     0     2     1    18
 -1.6509455705385031E-02 a        39     0     2     1    19
  1.9132506111818545E-02 a        40     0     2     1    20
  2.7358437924677021E-03 a        41     0     3     1     1
 -6.1897311600689016E-02 a        42     0     3     1     2
 -2.0420785438762079E-01 a        43     0     3     1     3
 -1.8791086724948816E-01 a        44     0     3     1     4
 -1.1962344857863060E-01 a        45     0     3     1     5
 -2.5880611076662891E-01 a        46     0     3     1     6
  6.5717591291810595E-02 a        47     0     3     1     7
 -1.2387970485553360E-01 a        48     0     3     1     8
  9.5360983663629564E-02 a        49     0     3     1     9
 -8.3259969241623377E-02 a        50     0     3     1    10
  1.0691517736076256E-01 a        51     0     3     1    11
  1.1285402910372283E-01 a        52     0     3     1    12
  5.8287862349179674E-02 a        53     0     3     1    13
 -1.6410739006690225E-02 a        54     0     3     1    14
 -5.5265567805718618E-02 a        55     0     3     1    15
  2.1553925919581197E-02 a        56     0     3     1    16
 -9.4730406418160502E-03 a        57     0     3     1    17
 -1.5664456888221009E-01 a        58     0     3     1    18
 -6.3598234083139693E-02 a        59     0     3     1    19
  6.0489678186085673E-02 a        60     0     3     1    20
 -1.2032131985461558E-01 a        61     0     4     1     1
  3.3460734849208434E-01 a        62     0     4     1     2
 -8.1519758147664365E-02 a        63     0     4     1     3
  2.0265466328828527E-01 a        64     0     4     1     4
 -1.3385867075133737E-02 a        65     0     4     1     5
 -1.5302267013647997E-01 a        66     0     4     1     6
  1.1195800094396451E-01 a        67     0     4     1     7
 -1.4347628268559609E-01 a        68     0     4     1     8
 -4.4679027537847443E-02 a        69     0     4     1     9
 -9.3027930998048264E-02 a        70     0     4     1    10
 -1.1939887986276350E-01 a        71     0     4     1    11
  9.1616294469086715E-02 a        72     0     4     1    12
  4.6166949812415356E-02 a        73     0     4     1    13
  2.2689553798258769E-01 a        74     0     4     1    14
  9.9124023772846973E-02 a        75     0     4     1    15
 -9.0756009071116472E-02 a        76     0     4     1    16
  7.0874157382198169E-02 a        77     0     4     1    17
 -3.6016560892941370E-02 a        78     0     4     1    18
 -6.1496062374316422E-02 a        79     0     4     1    19
 -3.0359328266571717E-02 a        80     0     4     1    20
 -3.2285587384006781E-01 a        81     0     5     1     1
  1.3669776037873574E-01 a        82     0     5     1     2
 -9.6993188023003774E-02 a        83     0     5     1     3
 -2.9698824268459163E-02 a        84     0     5     1     4
 -1.5699352258375565E-01 a        85     0     5     1     5
 -5.2162109591657912E-01 a        86     0     5     1     6
 -3.4509607780133605E-01 a        87     0     5     1     7
  7.5469224987438827E-02 a        88     0     5     1     8
 -5.6169321801852734E-01 a        89     0     5     1     9
 -7.5583760598093089E-02 a        90     0     5     1    10
  3.8680494559698775E-01 a        91     0     5     1    11
  2.5933077392036930E-01 a        92     0     5     1    12
  2.2929105644302372E-01 a        93     0     5     1    13
 -3.6914109352376834E-01 a        94     0     5     1    14
  3.9344143695291667E-01 a        95     0     5     1    15
 -5.8448281704173910E-01 a        96     0     5     1    16
  9.5775185040952657E-02 a        97     0     5     1    17
 -4.2120683354371830E-01 a        98     0     5     1    18
 -1.6761566473563846E-01 a        99     0     5     1    19
 -1.6034356185297093E-02 a       100     0     5     1    20
  5.1051513250979098E-02 a       101     0     6     1     1
 -1.6585217581054512E-01 a       102     0     6     1     2
  1.6469895049552305E-01 a       103     0     6     1     3
  2.0362153234166927E-01 a       104     0     6     1     4
  1.3295000015618327E-01 a       105     0     6     1     5
  1.8792021013217622E-01 a       106     0     6     1     6
 -8.5794852523267143E-02 a       107     0     6     1     7
 -3.1041302518909668E-02 a       108     0     6     1     8
  1.2747815916461316E-01 a       109     0     6     1     9
 -5.0936476061229294E-02 a       110     0     6     1    10
  1.4490783572954621E-01 a       111     0     6     1    11
 -1.8770700724263190E-01 a       112     0     6     1    12
 -1.5011393505971987E-01 a       113     0     6     1    13
  1.8479180707621685E-02 a       114     0     6     1    14
  3.3349060861910432E-02 a       115     0     6     1    15
  8.5709188157125679E-02 a       116     0     6     1    16
 -2.0078665084480540E-01 a       117     0     6     1    17
  2.8124064805212776E-02 a       118     0     6     1    18
 -1.5947354581522508E-01 a       119     0     6     1    19
  1.0382131035300500E-01 a       120     0     6     1    20
  1.3143333368509977E-01 a       121     0     7     1     1
 -4.1956459947925233E-02 a       122     0     7     1     2
 -1.6212215682772757E-01 a       123     0     7     1     3
  1.6740324131017942E-01 a       124     0     7     1     4
 -9.7934593274903919E-02 a       125     0     7     1     5
  7.3604021020245464E-02 a       126     0     7     1     6
  2.5127913787976758E-02 a       127     0     7     1     7
  1.9774257477320881E-01 a       128     0     7     1     8
 -1.8175227529135224E-01 a       129     0     7     1     9
  8.3198861317593895E-02 a       130     0     7     1    10
 -2.1994782447050301E-01 a       131     0     7     1    11
  7.5799769927571469E-03 a       132     0     7     1    12
  1.0270309513873725E-01 a       133     0     7     1    13
 -5.7823645035226801E-02 a       134     0     7     1    14
  1.1446443038126573E-01 a       135     0     7     1    15
  4.4783222847094732E-02 a       136     0     7     1    16
 -2.0557390569258337E-02 a       137     0     7     1    17
  1.9982038329007623E-01 a       138     0     7     1    18
  1.0607152585233354E-01 a       139     0     7     1    19
 -1.1531042306729308E-01 a       140     0     7     1    20
  1.2744801976305653E-01 a       141     0     8     1     1
 -1.9417837694182363E-01 a       142     0     8     1     2
  6.7754317726107599E-02 a       143     0     8     1     3
 -1.0165973868291726E-01 a       144     0     8     1     4
  2.1375407067443633E-02 a       145     0     8     1     5
  3.3257392020961382E-02 a       146     0     8     1     6
 -8.2515308330925879E-02 a       147     0     8     1     7
  3.7793567092368394E-05 a       148     0     8     1     8
  4.5389507241558907E-02 a       149     0     8     1     9
  1.9736878972405944E-01 a       150     0     8     1    10
  2.2506416945695651E-01 a       151     0     8     1    11
  7.5530339188891946E-03 a       152     0     8     1    12
  1.5485994093876623E-01 a       153     0     8     1    13
 -1.9491688826494269E-01 a       154     0     8     1    14
 -8.6694946754558605E-02 a       155     0     8     1    15
  1.7345681468862631E-01 a       156     0     8     1    16
 -1.6753922247893657E-01 a       157     0     8     1    17
  1.8205368639064679E-01 a       158     0     8     1    18
  9.7960554228521401E-02 a       159     0     8     1    19
 -1.2349614824644883E-01 a       160     0     8     1    20
