################################################################################
# Neural network connection values (weights and biases).
################################################################################
# Col  Name       Description
################################################################################
# 1    connection Neural network connection value.
# 2    t          Connection type (a = weight, b = bias).
# 3    index      Index enumerating weights.
# 4    l_s        Starting point layer (end point layer for biases).
# 5    n_s        Starting point neuron in starting layer (end point neuron for biases).
# 6    l_e        End point layer.
# 7    n_e        End point neuron in end layer.
################################################################################
#                      1 2         3     4     5     6     7
#             connection t     index   l_s   n_s   l_e   n_e
############################################################
 -1.6887556681170454E-01 a         1     0     1     1     1
 -2.6721040336836432E-02 a         2     0     1     1     2
 -2.7608734003622803E-01 a         3     0     1     1     3
  3.2753539910484492E-02 a         4     0     1     1     4
  2.3244832556417899E-01 a         5     0     1     1     5
  4.5279273517776338E-02 a         6     0     1     1     6
 -3.1276700569673348E-02 a         7     0     1     1     7
 -5.9215608339220245E-02 a         8     0     1     1     8
 -1.6700113870569598E-02 a         9     0     1     1     9
  2.5868041342803912E-02 a        10     0     1     1    10
  3.7262330185862264E-01 a        11     0     1     1    11
  3.3340163374117021E-02 a        12     0     1     1    12
 -1.4102513552117801E-01 a        13     0     1     1    13
  2.5422274414056756E-02 a        14     0     1     1    14
  8.6798116548793866E-02 a        15     0     1     1    15
 -8.3305081125158414E-02 a        16     0     1     1    16
 -9.0995933327372117E-02 a        17     0     1     1    17
  2.3316121841199963E-01 a        18     0     1     1    18
 -1.0898704581544469E-01 a        19     0     1     1    19
 -2.1537117630529168E-01 a        20     0     1     1    20
  1.0174916235526482E-01 a        21     0     2     1     1
 -1.3311909277250034E-01 a        22     0     2     1     2
  9.7595315841011460E-03 a        23     0     2     1     3
  6.9941084959403599E-02 a        24     0     2     1     4
 -1.5097284430769262E-01 a        25     0     2     1     5
  5.1945086886641331E-03 a        26     0     2     1     6
  2.0051683934235023E-02 a        27     0     2     1     7
  1.1618088665852527E-01 a        28     0     2     1     8
  4.0263612253769739E-02 a        29     0     2     1     9
 -1.3939883317647142E-01 a        30     0     2     1    10
 -1.2638927011608331E-01 a        31     0     2     1    11
 -8.5700885147612232E-02 a        32     0     2     1    12
 -6.4064573086297982E-02 a        33     0     2     1    13
 -1.4737091296870464E-01 a        34     0     2     1    14
  3.9092308958813750E-02 a        35     0     2     1    15
 -1.1265145706965143E-01 a        36     0     2     1    16
 -1.7219792884037129E-02 a        37     0     2     1    17
 -7.1728215412517005E-02 a        38     0     2     1    18
 -1.3681315555439527E-02 a        39     0     2     1    19
  2.0711639559414677E-01 a        40     0     2     1    20
 -1.7902091423574663E-02 a        41     0     3     1     1
 -4.2582399364659330E-02 a        42     0     3     1     2
  1.8746581009733307E-01 a        43     0     3     1     3
  4.5725049877431298E-02 a        44     0     3     1     4
 -5.3687103428115251E-02 a        45     0     3     1     5
  8.5706554444982874E-02 a        46     0     3     1     6
  3.4065552600153620E-02 a        47     0     3     1     7
 -8.7066133502373869E-02 a        48     0     3     1     8
 -1.0016385478107905E-01 a        49     0     3     1     9
  1.2926633278076829E-01 a        50     0     3     1    10
 -9.9695848037614929E-02 a        51     0     3     1    11
 -5.2461438208676638E-02 a        52     0     3     1    12
  1.0311481418459334E-01 a        53     0     3     1    13
  1.4484236851083307E-01 a        54     0     3     1    14
  1.7584506015620054E-02 a        55     0     3     1    15
 -2.0183035192981791E-01 a        56     0     3     1    16
  7.8226002352248900E-02 a        57     0     3     1    17
 -7.0163655413678333E-02 a        58     0     3     1    18
 -1.2927659240945089E-01 a        59     0     3     1    19
  1.4896887995177209E-02 a        60     0     3     1    20
 -8.8970046331125485E-02 a        61     0     4     1     1
 -4.0675589805277496E-02 a        62     0     4     1     2
  1.1803214598077204E-01 a        63     0     4     1     3
  7.3900148658181078E-02 a        64     0     4     1     4
  1.7333056495776485E-02 a        65     0     4     1     5
 -5.3115618966478317E-02 a        66     0     4     1     6
 -7.3522260995430707E-03 a        67     0     4     1     7
 -8.0382855523116470E-02 a        68     0     4     1     8
  1.0352876609622168E-01 a        69     0     4     1     9
  8.8699977633936167E-02 a        70     0     4     1    10
 -1.8312984419320510E-02 a        71     0     4     1    11
 -2.3625409953163271E-01 a        72     0     4     1    12
  8.1662180029812514E-02 a        73     0     4     1    13
  5.8093205274378702E-02 a        74     0     4     1    14
  1.3459322909528107E-02 a        75     0     4     1    15
  1.7412570715258743E-01 a        76     0     4     1    16
  8.7193306859866815E-02 a        77     0     4     1    17
  1.0917035542662162E-01 a        78     0     4     1    18
 -6.7104357271158710E-02 a        79     0     4     1    19
 -1.4628581032227567E-01 a        80     0     4     1    20
 -1.3247141219744182E-01 a        81     0     5     1     1
 -6.2844693510996103E-03 a        82     0     5     1     2
 -1.4422219662870070E-01 a        83     0     5     1     3
 -3.0122637506482880E-01 a        84     0     5     1     4
  3.2151014878355815E-03 a        85     0     5     1     5
 -1.8892298889287804E-01 a        86     0     5     1     6
 -1.4913141049160944E-01 a        87     0     5     1     7
  2.5851968440544032E-01 a        88     0     5     1     8
 -2.4618914210367557E-01 a        89     0     5     1     9
 -1.3382252926089908E-01 a        90     0     5     1    10
  8.2188488498485091E-02 a        91     0     5     1    11
  3.8554610428150511E-02 a        92     0     5     1    12
  1.2903796528902337E-01 a        93     0     5     1    13
 -3.6906735347832664E-01 a        94     0     5     1    14
 -2.6733651729341934E-01 a        95     0     5     1    15
 -4.8878463839745312E-02 a        96     0     5     1    16
  2.9180703897131160E-02 a        97     0     5     1    17
 -1.3290317808312732E-01 a        98     0     5     1    18
  1.4986699489993749E-01 a        99     0     5     1    19
 -2.3488493953532988E-02 a       100     0     5     1    20
 -6.7143140011380761E-02 a       101     0     6     1     1
  1.2338899400741439E-01 a       102     0     6     1     2
  7.8305287569266344E-02 a       103     0     6     1     3
 -1.7641967622974652E-01 a       104     0     6     1     4
  1.4171746433465657E-01 a       105     0     6     1     5
 -7.4714562549842115E-02 a       106     0     6     1     6
  1.8444255435381882E-01 a       107     0     6     1     7
 -2.0841712753640430E-02 a       108     0     6     1     8
 -1.0447362210639830E-02 a       109     0     6     1     9
  2.3332000675655271E-01 a       110     0     6     1    10
  2.7113156561526336E-01 a       111     0     6     1    11
  8.2439427656164702E-02 a       112     0     6     1    12
  1.5251008060893201E-01 a       113     0     6     1    13
  2.8347875477734696E-01 a       114     0     6     1    14
 -2.7995853320563372E-02 a       115     0     6     1    15
  4.6712356605305254E-02 a       116     0     6     1    16
  2.6105462800511754E-02 a       117     0     6     1    17
  1.1311200049016490E-01 a       118     0     6     1    18
  1.1539356147933373E-01 a       119     0     6     1    19
 -9.4193201236075608E-02 a       120     0     6     1    20
  8.6527641053236209E-02 a       121     0     7     1     1
 -4.9791424862977676E-02 a       122     0     7     1     2
 -3.3725533625129378E-01 a       123     0     7     1     3
 -1.5174788626210786E-01 a       124     0     7     1     4
  2.5137568299281193E-01 a       125     0     7     1     5
 -2.0827841554165247E-01 a       126     0     7     1     6
